;-------------------------------------------------------------------
; Generated by AirAmaz sector compiler NG v2.0.0
; Generated at Dec 20 2024 20:57:20
; For Simulation use ONLY
; Copyright 2024 AirAmaz Studio -- https://github.com/AirAmaz
;-------------------------------------------------------------------
00AN	59.09347152709961	-156.45582580566406	Katmai Lodge
00AR	38.96965026855469	-97.60155487060547	Arland
00CL	39.427188873291016	-121.763427734375	Williams Ag
00IG	39.724029541015625	-101.39599609375	Goltl
00TN	36.12044906616211	-86.35953521728516	Thompson Farms
00TT	34.516605377197266	-99.93694305419922	Nowhere
00TX	32.54445266723633	-95.67313385009766	Delva
00XA	30.22403907775879	-96.01415252685547	Weeski Ranch
01AN	61.64902877807617	-149.3390350341797	Mc Hone Heights
01CN	62.10698318481445	-150.1092987060547	Coleman Homestead
01GE	32.67515182495117	-82.77099609375	The Farm
01ID	42.60824966430664	-112.03246307373047	Lava Hot Springs
01NK	43.422943115234375	-73.26802825927734	Granville
01OH	39.49747085571289	-84.31391906738281	Atrium Medical Center
01OL	34.3725700378418	-96.71603393554688	Spring Creek Ranch East
01TX	33.17058181762695	-98.62222290039062	Beulah Fld
02AL	30.371463775634766	-87.76444244384766	Bass
02AN	59.7042236328125	-151.29586791992188	Emerald Ridge
02FA	28.52666664123535	-81.87480163574219	Osborn
02FD	30.952346801757812	-86.63541412353516	Triple R Ranch
02MI	43.15700149536133	-85.14892578125	Fairplains Airpark
02MN	45.629737854003906	-93.17497253417969	Gregory
02MO	39.046260833740234	-91.0282211303711	Troy
02NM	32.0907096862793	-108.87073516845703	Ffr Animas Landing Strip
02WA	47.15232467651367	-122.09400177001953	Cawleys South Prairie
03CO	38.09791946411133	-106.08975219726562	Blue Water
03IA	41.14141082763672	-95.19438171386719	Flatlander
03MO	39.2888298034668	-93.99242401123047	Dorton
03OL	35.012332916259766	-97.7027359008789	Bluebird
03TT	29.632116317749023	-95.93247985839844	Brazos Polo
03WN	45.87545394897461	-120.67232513427734	Aerostone Airfield
04AN	61.737510681152344	-148.7007293701172	North 40
04AZ	35.721778869628906	-114.4505386352539	White Hills
04CA	34.56662368774414	-117.67037963867188	Gray Butte
04FA	25.558719635009766	-80.51506042480469	Richards
04KS	37.3985481262207	-100.03709411621094	Kraemer Airfield
04TN	36.18333435058594	-82.67888641357422	Hensley
04TT	29.713693618774414	-99.54562377929688	Brushy Creek Ranch
04WN	46.95835876464844	-119.6388168334961	Stillwater Creek
05AK	61.66865539550781	-149.1873321533203	Wasilla Creek Airpark
05AN	64.9604721069336	-147.60108947753906	Weltons Aerodrome
05AR	36.000633239746094	-93.57025146484375	Ozark Skies
05IA	43.13787078857422	-93.06834411621094	Spotts
05KS	37.26633834838867	-95.95897674560547	Darbro Fld
05LA	32.26542282104492	-91.69792175292969	Gregs Flying Service
05MD	39.24422073364258	-76.19866943359375	Breezecroft
05MO	40.172019958496094	-92.21250915527344	Jetsetter Outdoors
05NR	36.16841506958008	-79.27690887451172	Fox Fld
05OH	40.18466567993164	-81.92062377929688	Eaglecrest
05UT	37.288082122802734	-113.69694519042969	Sand Cove Ranch
06AA	60.540138244628906	-150.81361389160156	Twisted Sisters
06AN	60.73381805419922	-151.21359252929688	Niesen Airstrip
06FA	26.908153533935547	-80.32841491699219	Gwinn
06FD	28.641666412353516	-81.88500213623047	Grass Roots
06IA	41.84014129638672	-91.83441162109375	Rich Fld
06MN	47.51652145385742	-94.08644104003906	Cutfoot Sioux
06MO	39.23087692260742	-94.8015365600586	Noahs Ark
06TE	30.312957763671875	-95.02728271484375	Cavok Airpark
06TT	30.860021591186523	-100.20199584960938	6 Mile Airpark
06WN	46.92498779296875	-122.55303955078125	Western
07AN	62.82555389404297	-149.9108123779297	Bro Majors Airfield
07FA	25.324316024780273	-80.27572631835938	Ocean Reef Club
07GE	31.555660247802734	-83.27848815917969	Pope Pate Fld
07IA	40.64788818359375	-95.02134704589844	Hoskins Landing
07ID	48.14921188354492	-116.99801635742188	Shepard Strip
07LA	31.05299949645996	-92.63287353515625	Richmond Plantation
07MD	39.609046936035156	-77.0479965209961	Baughers Orchard
07MT	48.42109298706055	-106.52771759033203	Glasgow Industrial
07PA	41.85308074951172	-80.4072036743164	Dream Air
08AN	61.70429611206055	-149.21250915527344	Base Camp Airstrip
08AR	33.723609924316406	-94.14527893066406	Garrison
08IL	41.860382080078125	-88.6557388305664	Marshall Farms
08KS	39.03438949584961	-97.58000183105469	Alderson
08NY	41.36725997924805	-74.51893615722656	Md1
08OL	35.40808868408203	-98.60547637939453	Broken B
08TN	35.298912048339844	-86.47435760498047	Ptc
08TT	30.30880355834961	-99.02222442626953	Lz Tango Charlie
08UT	38.335018157958984	-109.13517761230469	Pinelodge Rwy
08WI	44.58198547363281	-88.14225006103516	Faikel Airfield
09AN	59.6721076965332	-151.65785217285156	Kachemak Landing
09CL	39.112064361572266	-121.05519104003906	Alta Sierra
09FA	27.245603561401367	-81.41312408447266	Placid Lakes
09GE	34.45841979980469	-84.18037414550781	Elliott
09MN	45.076602935791016	-92.98596954345703	Salisbury
09MT	45.90934371948242	-113.76318359375	Paint Creek Ranch
09TS	29.482629776000977	-103.16297912597656	Pitcock Rosillos Mountain Ranc
0AA1	60.080848693847656	-142.49549865722656	Yakataga
0AA4	62.50918197631836	-153.890625	Farewell
0AK8	61.426876068115234	-142.9788360595703	Fireweed
0AR3	34.32802963256836	-93.25929260253906	Bent Hickory Air Ranch
0AZ1	33.39565658569336	-113.22252655029297	Adc
0CA0	36.65274429321289	-119.58711242675781	Pom Wonderful Airstrip
